Title,Rating,Year
1. The Shawshank Redemption,9.3,1994
2. The Godfather,9.2,1972
3. The Dark Knight,9.0,2008
4. The Godfather Part II,9.0,1974
5. 12 Angry Men,9.0,1957
6. Schindler's List,9.0,1993
7. The Lord of the Rings: The Return of the King,9.0,2003
8. Pulp Fiction,8.9,1994
9. The Lord of the Rings: The Fellowship of the Ring,8.8,2001
"10. The Good, the Bad and the Ugly",8.8,1966
11. Forrest Gump,8.8,1994
12. Spider-Man: Across the Spider-Verse,8.9,2023
13. Fight Club,8.8,1999
14. The Lord of the Rings: The Two Towers,8.8,2002
15. Inception,8.8,2010
16. Star Wars: Episode V - The Empire Strikes Back,8.7,1980
17. The Matrix,8.7,1999
18. Goodfellas,8.7,1990
19. One Flew Over the Cuckoo's Nest,8.7,1975
20. Se7en,8.6,1995
21. It's a Wonderful Life,8.6,1946
22. Seven Samurai,8.6,1954
23. The Silence of the Lambs,8.6,1991
24. Saving Private Ryan,8.6,1998
25. City of God,8.6,2002
26. Interstellar,8.7,2014
27. Life Is Beautiful,8.6,1997
28. The Green Mile,8.6,1999
29. Star Wars: Episode IV - A New Hope,8.6,1977
30. Terminator 2: Judgment Day,8.6,1991
31. Back to the Future,8.5,1985
32. Spirited Away,8.6,2001
33. The Pianist,8.5,2002
34. Psycho,8.5,1960
35. Parasite,8.5,2019
36. Léon: The Professional,8.5,1994
37. The Lion King,8.5,1994
38. Gladiator,8.5,2000
39. American History X,8.5,1998
40. The Departed,8.5,2006
41. Whiplash,8.5,2014
42. The Prestige,8.5,2006
43. The Usual Suspects,8.5,1995
44. Casablanca,8.5,1942
45. Grave of the Fireflies,8.5,1988
46. Harakiri,8.6,1962
47. The Intouchables,8.5,2011
48. Modern Times,8.5,1936
49. Once Upon a Time in the West,8.5,1968
50. Cinema Paradiso,8.5,1988
51. Rear Window,8.5,1954
52. Alien,8.5,1979
53. City Lights,8.5,1931
54. Apocalypse Now,8.4,1979
55. Memento,8.4,2000
56. Django Unchained,8.4,2012
57. Indiana Jones and the Raiders of the Lost Ark,8.4,1981
58. WALL·E,8.4,2008
59. The Lives of Others,8.4,2006
60. Sunset Blvd.,8.4,1950
61. Paths of Glory,8.4,1957
62. Avengers: Infinity War,8.4,2018
63. The Shining,8.4,1980
64. The Great Dictator,8.4,1940
65. Witness for the Prosecution,8.4,1957
66. Spider-Man: Into the Spider-Verse,8.4,2018
67. Aliens,8.4,1986
68. American Beauty,8.3,1999
69. The Dark Knight Rises,8.4,2012
70. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
71. Inglourious Basterds,8.3,2009
72. Oldboy,8.4,2003
73. Coco,8.4,2017
74. Amadeus,8.4,1984
75. Toy Story,8.3,1995
76. Braveheart,8.3,1995
77. Das Boot,8.4,1981
78. Joker,8.4,2019
79. Avengers: Endgame,8.4,2019
80. Princess Mononoke,8.3,1997
81. Good Will Hunting,8.3,1997
82. Once Upon a Time in America,8.3,1984
83. Your Name.,8.4,2016
84. 3 Idiots,8.4,2009
85. Singin' in the Rain,8.3,1952
86. High and Low,8.4,1963
87. Requiem for a Dream,8.3,2000
88. Capernaum,8.4,2018
89. Toy Story 3,8.3,2010
90. Star Wars: Episode VI - Return of the Jedi,8.3,1983
91. Come and See,8.4,1985
92. Eternal Sunshine of the Spotless Mind,8.3,2004
93. 2001: A Space Odyssey,8.3,1968
94. The Hunt,8.3,2012
95. Reservoir Dogs,8.3,1992
96. Lawrence of Arabia,8.3,1962
97. Citizen Kane,8.3,1941
98. Ikiru,8.3,1952
99. M,8.3,1931
100. North by Northwest,8.3,1959
101. The Apartment,8.3,1960
